ID;Temperature;Isolate;Clutch;Nb_offspring;FirstClutchAge;LastClutchAge;DeathAge;Accidental_death;Volume_counted;InfectedStatus;Number of mature spores;Number of imature spores;Nb of white spores;cauliflowers;grapes
3;20;C1;NA;0;NA;NA;15;;150;not_inf;NA;NA;NA;no;no
41;20;C1;NA;0;NA;NA;15;;150;not_inf;NA;NA;NA;no;no
74;30;C1;NA;0;NA;NA;15;;150;not_inf;NA;NA;NA;no;no
153;20;C14;NA;0;NA;NA;15;;150;not_inf;NA;NA;NA;no;no
291;40;C14;1;10;14;14;15;;150;not_inf;NA;NA;NA;no;no
663;30;C18;1;2;14;14;15;;200;not_inf;NA;NA;NA;no;no
156;20;C14;NA;0;NA;NA;15;;150;infected ;0;0;0;yes;yes
934;20;C24;NA;0;NA;NA;15;;150;infected;0;0;0;yes;no
12;20;C1;NA;0;NA;NA;17;;150;not_inf;NA;NA;NA;no;no
615;20;C18;1;3;14;14;17;;150;not_inf;NA;NA;NA;no;no
742;40;C18;1;2;14;14;17;;150;not_inf;NA;NA;NA;no;no
4;20;C1;NA;0;NA;NA;17;;200;infected;0;0;0;yes;no
26;20;C1;1;2;10;10;18;;150;not_inf;NA;NA;NA;no;no
72;30;C1;NA;0;NA;NA;18;;150;not_inf;NA;NA;NA;no;no
245;30;C14;NA;0;NA;NA;18;;150;not_inf;NA;NA;NA;no;no
716;40;C18;1;4;14;14;18;;150;not_inf;NA;NA;NA;no;no
734;40;C18;NA;0;NA;NA;18;;150;not_inf;0;0;0;no;no
1089;CTRL;CTRL;1;5;14;14;18;;150;not_inf;NA;NA;NA;no;no
710;40;C18;2;5;10;14;18;;;lost;NA;NA;NA;NA;NA
978;30;C24;2;5;10;10;19;;150;not_inf;NA;NA;NA;no;no
48;20;C1;NA;0;NA;NA;19;1;NA;lost;NA;NA;NA;NA;NA
160;20;C14;NA;0;NA;NA;19;;150;infected;0;0;0;no;no
671;30;C18;1;5;14;14;19;;150;infected;1;39;0;no;yes
928;20;C24;NA;0;NA;NA;19;;150;infected;0;0;0;yes;no
83;30;C1;1;1;18;NA;20;;150;not_inf;NA;NA;NA;no;no
681;30;C18;1;5;18;18;20;;150;not_inf;NA;NA;NA;no;no
683;30;C18;1;1;14;14;20;;150;not_inf;NA;NA;NA;no;no
703;40;C18;1;2;18;18;20;;150;not_inf;NA;NA;NA;no;no
908;20;C24;1;1;14;14;20;;200;not_inf;NA;NA;NA;no;no
1029;40;C24;NA;0;NA;NA;20;1;NA;lost;NA;NA;NA;NA;NA
28;20;C1;1;4;10;10;20;;150;infected;0;0;0;yes;yes
67;30;C1;1;1;14;14;20;;150;infected;0;0;0;yes;no
182;20;C14;1;3;18;18;20;;150;infected;0;0;0;yes;no
229;30;C14;NA;0;NA;NA;20;;150;infected;NA;NA;NA;yes;no
940;20;C24;1;2;10;10;20;;150;infected;0;5;0;yes;no
972;30;C24;NA;0;NA;NA;20;;150;infected;8;136;NA;yes;yes
1007;40;C24;1;1;18;18;20;;150;infected;0;129;0;no;yes
42;20;C1;1;4;14;14;21;;150;not_inf;NA;NA;NA;no;no
